gender,age,who,alcohol,taste
남,30,"친구, 혼자",20도 이상,"산미, 깔끔함, 향"
남,30,"연인, 혼자",무관,깔끔함
남,26,친구,무관,"깔끔함, 향"
남,27,혼자,10도 이하,단맛
남,28,"친구, 연인, 가족",10도 이상 20도 이하,"단맛, 깔끔함, 향"
여,26,친구,10도 이하,"깔끔함, 탄산감, 향"
여,24,연인,10도 이상 20도 이하,단맛
여,25,친구,10도 이하,"단맛, 탄산감"
남,28,친구,10도 이상 20도 이하,"단맛, 쌉쌀함"
남,27,"친구, 가족",10도 이상 20도 이하,"단맛, 깔끔함"
남,29,"친구, 혼자",10도 이하,"고소함, 탄산감"
남,26,"친구, 혼자",무관,"깔끔함, 향"
여,27,"친구, 연인, 가족, 혼자",무관,"단맛, 고소함, 깔끔함, 탄산감, 향"
남,28,"친구, 연인, 가족",무관,"단맛, 깔끔함"
남,26,친구,10도 이상 20도 이하,"바디감, 깔끔함, 향"
남,28,가족,무관,향
남,27,"친구, 연인",10도 이하,"쌉쌀함, 깔끔함, 향"
여,25,"친구, 연인, 가족",10도 이하,"단맛, 깔끔함"
남,28,"친구, 연인",10도 이상 20도 이하,깔끔함
남,27,친구,10도 이상 20도 이하,"깔끔함, 향"
여,26,"친구, 연인",무관,"고소함, 깔끔함"
남,27,친구,10도 이상 20도 이하,깔끔함
남,31,친구,10도 이상 20도 이하,깔끔함
여,27,혼자,무관,"깔끔함, 향"
남,30,친구,20도 이상,"쌉쌀함, 바디감, 깔끔함, 향"
여,25,친구,10도 이하,깔끔함
여,29,"친구, 연인, 가족, 혼자",10도 이상 20도 이하,"깔끔함, 향"
여,27,"친구, 연인, 가족",10도 이상 20도 이하,"깔끔함, 향"
남,27,"친구, 연인, 가족, 혼자",20도 이상,"단맛, 바디감, 깔끔함, 향"
여,28,"친구, 연인, 혼자",10도 이상 20도 이하,깔끔함
여,26,"친구, 혼자",10도 이하,"단맛, 깔끔함, 탄산감"
여,25,"친구, 연인",10도 이상 20도 이하,깔끔함
남,26,친구,10도 이상 20도 이하,깔끔함
여,27,"친구, 연인, 가족, 혼자",10도 이하,"깔끔함, 향"
남,27,친구,10도 이상 20도 이하,"깔끔함, 탄산감, 향"
여,25,"친구, 혼자",10도 이상 20도 이하,"깔끔함, 향"
남,26,"친구, 연인, 가족",무관,"깔끔함, 향"
여,26,"친구, 연인",10도 이하,단맛
남,27,친구,10도 이상 20도 이하,깔끔함
남,29,친구,10도 이상 20도 이하,"쌉쌀함, 향"
남,42,가족,10도 이하,산미
남,26,"친구, 연인",무관,향
남,27,친구,10도 이하,"깔끔함, 탄산감, 향"
남,26,"친구, 가족",무관,"단맛, 고소함, 깔끔함, 탄산감, 향"
남,26,"친구, 가족",무관,깔끔함
남,29,친구,10도 이하,깔끔함
남,29,"친구, 혼자",무관,향
남,28,친구,10도 이상 20도 이하,"깔끔함, 탄산감"
남,27,"친구, 연인, 혼자",10도 이상 20도 이하,깔끔함
남,28,"친구, 연인",무관,"바디감, 깔끔함, 향"
남,28,"친구, 혼자",무관,"산미, 바디감"
남,29,"친구, 연인, 가족, 혼자",10도 이하,"바디감, 깔끔함"
남,28,"친구, 가족",무관,"쌉쌀함, 깔끔함"
남,30,친구,무관,"단맛, 쌉쌀함, 탄산감, 향"
남,27,친구,10도 이하,"단맛, 향"
남,26,친구,10도 이상 20도 이하,"쌉쌀함, 탁도, 향"
남,27,"친구, 가족, 혼자",10도 이상 20도 이하,향
남,28,친구,무관,깔끔함
여,26,"친구, 연인",10도 이상 20도 이하,깔끔함
남,67,"친구, 혼자",무관,"고소함, 탁도, 향"
여,25,친구,10도 이하,"바디감, 깔끔함"
남,26,친구,10도 이상 20도 이하,깔끔함
남,27,"친구, 연인, 혼자",10도 이하,"단맛, 깔끔함, 탄산감, 향"
남,27,"친구, 연인, 가족, 혼자",10도 이상 20도 이하,깔끔함
여,27,"친구, 연인, 가족",10도 이하,깔끔함
